"CNPJ","cd_UGestora","nu_Contrato","tp_Licitacao","vl_TotalContrato","n_municipios","n_ugestora","total_ganho","perc_vitoria","idade_empresa_anos","descricao_tipo_logradouro","porte_empresa","diff_abertura_primeiro_empenho","status","media_num_contratos"
1,201002,"000332014",2,1.5096768169732,1.09307760303944,2,32.2987653854666,0.168266040808981,1.70067005173286,"AVENIDA",3,9504000,1,0.952224469264004
2,201005,"000692016",11,1.50914221322795,3.86154546854902,52,62.3808072135528,0.377874921223475,2.44999986045878,"RUA",3,21686400,1,0.758340084301181
3,201013,"000012016",11,1.50942184747217,3.52507694630773,53,86.2930854930821,0.680105093031717,2.9519227385437,"RUA",3,599529600,1,1.2003189222865
4,201013,"000022016",11,1.50945400865612,3.34852161554237,45,97.4562656858316,0.778324793393893,2.4898170851115,"RURAL",3,67046400,1,1.18682348262797
5,201013,"000072016",11,1.50946272176404,3.65083603695827,45,66.4262963373794,0.716727464902721,1.69576498443455,"RUA",3,9676800,1,0.758340084301181
6,201013,"000552016",11,1.50933876670861,3.55158378852168,56,87.140584385862,0.67171634523424,2.9519227385437,"RUA",3,599529600,1,1.15877734982604
7,201014,"000112014",2,1.50945798538933,1.37748929838316,3,58.1492971075668,0.778324793393893,2.90315251001275,"AVENIDA",1,855187200,1,1.30842175211579
8,201014,"000122014",2,1.50946461406873,0.690941237078147,1,42.7087149011298,0.513274053152673,1.83417113839442,"RUA",1,18489600,1,0.632819540487224
9,201014,"000512016",2,1.50950093256099,2.45671097454329,11,77.2089217781438,0.576431853152989,2.90315251001275,"AVENIDA",1,855187200,1,1.36967232227793
10,201019,"000222017",11,1.50946581372063,1.92859112132035,9,61.9419381877221,0.831907966295832,1.86690247419874,"OUTRO",1,113443200,1,0.952224469264004
11,201020,"000602014",11,1.5091544665612,2.90490615601332,21,52.038695684892,0.438483581367752,2.26474863600481,"RUA",1,29894400,1,0
12,201020,"002652014",1,1.50956049493806,1.37748929838316,3,62.7551051781265,0.25352176122227,2.61150925748246,"RURAL",3,185328000,1,1.30842175211579
13,201025,"000342014",7,1.5093671579893,2.27836165882247,13,57.2328766227625,0.716727464902721,2.02121588556063,"RUA",1,19612800,1,0
14,201025,"000522014",11,1.50960590986839,2.60726989766263,24,110.913590887479,0.72719446986898,2.88638719406515,"RUA",3,494640000,1,0.812868016262367
15,201025,"001292016",2,1.50942110633181,0,0,0,0,2.21801005226265,"RUA",3,281836800,1,0
16,201025,"001702014",8,1.5093671579893,1.59757822034814,5,28.7602524947626,0.25352176122227,2.02354546382678,"RUA",1,9590400,1,0
17,201025,"001902015",7,1.50960115290118,2.27836165882247,9,65.2990946383907,0.17187935720707,1.78913298337023,"RUA",3,34300800,1,1.30842175211579
18,201025,"002002015",8,1.50941378107704,3.00226935945111,20,72.249707045099,0.927608304817488,2.21567332497184,"AVENIDA",1,137635200,1,0.952224469264004
19,201026,"000282017",11,1.50929728474983,2.67458606006447,16,69.9676324331663,0.455065498701542,1.79451808129565,"RUA",1,6393600,1,1.09796808763493
20,201030,"001052014",11,1.50927055515468,3.62697028810994,53,103.654755579586,0.283033506458651,2.15318016414924,"RUA",1,15638400,1,1.38107774757349
21,201034,"200012014",2,1.50943254013926,2.37163264088941,11,56.5709943921879,0.465629093450629,2.70783221918849,"RUA",1,301968000,1,0.812868016262367
22,201034,"201012016",2,1.50942587239492,2.27836165882247,9,63.6234613925176,0.689431576130922,1.70311021185991,"RUA",3,25401600,1,1.15877734982604
23,201035,"000362016",2,1.50933327446284,2.05967211681634,9,55.825746869927,0.276894560078116,1.74568295707982,"RUA",1,24192000,1,0.812868016262367
24,201035,"000392015",2,1.50943129583426,2.79659836533003,16,76.2211273931746,0.321317449818469,2.55964464022281,"RUA",3,105580800,1,1.33997107885283
25,201040,"000702015",11,1.50948104258197,4.219943174903,84,87.0381382242324,0.689431576130922,2.91067561221488,"OUTRO",5,530582400,1,0.952224469264004
26,201040,"001112014",11,1.50966463814599,4.03408901851777,62,55.5653092199066,0.370882124233319,2.52622723773153,"RUA",3,89251200,1,0
27,201040,"001792015",11,1.50934480697601,0,0,0,0,1.95773354382542,"AVENIDA",1,133142400,1,0
28,201040,"002662015",11,1.50918790084019,2.53491532024182,15,54.6594606867945,0.25352176122227,2.68296790360987,"AVENIDA",5,376704000,1,0.952224469264004
29,201040,"002812014",11,1.50923021013061,3.69685388466349,49,84.337992802878,0.307408999056466,2.31401243249379,"AVENIDA",5,21340800,1,0.992263769216095
30,201040,"002942014",11,1.509406480039,2.05967211681634,20,66.427614840056,0.513274053152673,2.20861411556882,"RUA",1,29030400,1,0
31,201040,"003102014",8,1.50916375693837,1.09307760303944,2,40.1950245959455,0.0913948044135007,2.11013041876195,"AVENIDA",5,139276800,1,0.632819540487224
32,201040,"003512014",11,1.50943570432042,0,0,0,0,2.04416631163193,"OUTRO",1,152668800,1,0.632819540487224
33,201042,"108012015",11,1.5092878943342,3.82295462438369,67,57.5642679695754,0.311329485672289,2.65915084270191,"RUA",1,207360000,1,0.632819540487224
34,201046,"000452016",11,1.50913014893584,3.89863828094152,62,59.0333993821577,0.59823199984911,3.00965704898615,"RUA",3,706665600,1,0.886563200507864
35,201046,"600502016",2,1.50946050409972,0,0,0,0,1.4648739310679,"RUA",3,41644800,1,0
36,201050,"140012014",7,1.50919991753312,3.52507694630773,40,80.0650279873264,0.243253903800357,2.31401243249379,"AVENIDA",5,21340800,1,0.632819540487224
37,201050,"164392014",11,1.5093854230169,3.71905896079292,57,104.142749442919,0.28567239651826,2.15318016414924,"RUA",1,15638400,1,1.30842175211579
38,201050,"164402014",11,1.50948490134264,5.13234029864127,218,126.049110497753,0.445125051178201,2.31904476535512,"AVENIDA",3,11318400,1,1.99882389725771
39,201057,"000012015",1,1.50944201487094,0,0,0,0,2.13232585911928,"RUA",1,208224000,1,0
40,201057,"000982015",2,1.50948534143357,0,0,0,0,2.13232585911928,"RUA",1,208224000,1,0.632819540487224
41,201057,"105612014",1,1.50947296882919,0.690941237078147,1,34.1853586140546,0.513274053152673,2.66033385940431,"RUA",3,501465600,1,0
42,201057,"107112014",1,1.50944080922235,1.77706878157985,5,44.5042751480427,0.478317088020385,1.97788958325154,"RUA",1,90806400,1,0.632819540487224
43,201058,"605012016",11,1.50934448872689,1.92859112132035,6,51.7953485212312,0.912618627709478,2.94098555040241,"RURAL",1,899769600,1,0.632819540487224
44,201067,"006022014",12,1.50949526443626,3.34852161554237,35,65.9842209251318,0.382684875408432,1.94483454791257,"RUA",3,9331200,1,0.632819540487224
45,201069,"000342016",2,1.50953066245188,2.85227115674928,19,67.7824522826012,0.28567239651826,2.29035956877977,"AVENIDA",1,26006400,1,1.15877734982604
46,201071,"000032016",2,1.50941058940807,4.01817212158901,95,94.5005870367622,0.754029477155112,2.41107933467638,"RUA",5,34128000,1,1.30842175211579
47,201076,"000672015",2,1.5093740176771,3.88027185767107,52,83.7088771621413,0.321317449818469,2.083647210695,"AVENIDA",3,27216000,1,1.21348322841966
48,201078,"000022015",2,1.50943376729837,1.77706878157985,5,70.3282825066821,0.645184007315522,2.90315251001275,"AVENIDA",1,855187200,1,1.06487295939814
49,201078,"000732016",11,1.50922686412169,3.3156595838503,40,76.083580874921,0.477639253089506,1.78588239680552,"RUA",3,8208000,1,1.38853898751287
50,201078,"002002015",2,1.50936259357576,2.05967211681634,7,73.85660277614,0.596437922049082,2.90315251001275,"AVENIDA",1,855187200,1,1.15877734982604
51,201078,"002332015",2,1.50943502523578,2.05967211681634,7,74.8788872155608,0.588495520392572,2.90315251001275,"AVENIDA",1,855187200,1,1.23887462130155
52,201078,"101562014",2,1.50942702261496,3.09069077313953,22,68.2458684493404,0.359784483697844,2.90771716310159,"AVENIDA",1,532137600,1,0.843421145242774
53,201078,"101882014",1,1.50956758730726,3.09069077313953,22,70.4551621250665,0.496347561182217,1.83315537593124,"RUA",3,12960000,1,1.42424563246174
54,201082,"000392016",11,1.50958658401996,1.59757822034814,4,76.7369457987057,0.831907966295832,2.26420448818865,"AVENIDA",3,202089600,1,0.632819540487224
55,201082,"002592015",11,1.50952538460075,3.82295462438369,51,83.0824276075954,0.536630941376653,1.94222600654571,"AVENIDA",1,18489600,1,1.70187122059166
56,201082,"002642015",1,1.50959415592988,2.67458606006447,14,77.3645991095747,0.370882124233319,1.94829757184287,"RUA",3,40780800,1,1.38853898751287
57,201082,"003352016",2,1.50953621476945,2.79659836533003,16,70.8081698786068,0.17187935720707,2.45572369843376,"OUTRO",1,219542400,1,1.30842175211579
58,201091,"001042015",2,1.5094890512877,3.2463581704049,26,74.4284588186931,0.387881820447124,1.83315537593124,"RUA",3,12960000,1,1.38853898751287
59,201091,"002232016",2,1.50947019591761,0,0,0,0,1.36996853894351,"AVENIDA",1,27129600,1,0
60,201092,"000192015",2,1.50916379435385,1.92859112132035,6,51.9493485898641,0.571743301048471,1.70311021185991,"RUA",3,25401600,1,1.15877734982604
61,201092,"000642015",2,1.5094345981551,0.690941237078147,1,25.4178664990488,0.513274053152673,1.62879769716105,"RUA",3,33955200,1,0.632819540487224
62,201092,"001002016",2,1.50933538669038,1.37748929838316,3,59.9483146959382,0.455065498701542,2.75527510601668,"RUA",1,719452800,1,1.15877734982604
63,201094,"000352015",11,1.50946791911806,3.17166981557492,30,73.6063214734908,0.740163710591486,2.46220401707912,"RUA",3,25142400,1,0.632819540487224
64,201094,"000722014",2,1.50954734400237,0,0,0,0,2.41282070742603,"RUA",5,358041600,1,0
65,201096,"000222015",2,1.50932775204339,3.65083603695827,42,99.1664266566492,0.479076011245368,2.59008056522224,"RURAL",1,168393600,1,1.53456933455797
66,201100,"000012016",8,1.50951927925773,1.09307760303944,3,53.4611388934626,0,1.74338245714661,"RUA",1,57715200,1,0.632819540487224
67,201102,"000162017",11,1.50920048823032,3.95170926349186,76,96.7987577777161,0.58441876946887,1.66945598827983,"RUA",1,10713600,1,1.70187122059166
68,201115,"000192015",11,1.50943940967202,3.00226935945111,28,71.0772552068282,0.417496198384616,1.78588239680552,"RUA",3,8208000,1,0.952224469264004
69,201115,"000202015",11,1.50929552876056,3.00226935945111,28,71.0772552068282,0.389523433317495,1.78588239680552,"RUA",3,8208000,1,1.02971857211536
70,201115,"000212015",11,1.50918789352962,3.00226935945111,28,71.3011333294219,0.373184171600067,1.78588239680552,"RUA",3,8208000,1,1.21348322841966
71,201125,"006232014",2,1.50943477484993,1.09307760303944,2,43.9484113357077,0.225024631954163,1.76045986622239,"RUA",3,19008000,1,0.812868016262367
72,201127,"000152015",11,1.50917143410388,4.53728328245333,102,83.6824024198108,0.583467701748828,2.14218088397998,"OUTRO",5,38620800,1,1.28170745804319
73,201132,"000042015",11,1.50915441384509,2.85227115674928,18,67.8780892838731,0.513274053152673,1.69082656606046,"RUA",1,11836800,1,1.63044535714211
74,201132,"000342014",2,1.50948808932993,2.79659836533003,19,72.9943464309288,0.220076530256328,2.00388902164611,"RUA",3,7430400,1,1.01129536187881
75,201138,"000082014",7,1.50938465536454,2.37163264088941,10,40.5998590822399,0.513274053152673,2.58009599972279,"OUTRO",5,216086400,1,0.632819540487224
76,201138,"000712015",8,1.50962616700259,0,0,0,0.202283030725654,2.80498211014529,"RUA",5,646185600,1,0.632819540487224
77,201140,"000072017",11,1.50925619034769,2.53491532024182,27,58.72341688674,0.885671005301676,2.38620073042053,"RUA",1,28425600,1,0.812868016262367
78,201146,"000582015",11,1.50935610618788,4.45977820959601,100,82.599106341529,0.527948827185869,2.19366577911906,"RUA",1,27907200,1,1.35800111605734
79,201154,"000572014",11,1.5093377246526,0,0,0,0.100586239302716,1.69082656606046,"RUA",1,11836800,1,1.42424563246174
80,201154,"000642014",11,1.50915493320359,5.66697210766757,383,77.5615317679096,0.463626888815754,2.70453690934354,"RUA",1,249955200,1,1.15877734982604
81,201154,"000852014",11,1.50910580780569,6.06998864300646,538,83.0001987715097,0.203727990507522,2.63007020227365,"AVENIDA",3,170208000,1,0.952224469264004
82,201156,"000692015",11,1.50924925517066,3.8030588356376,54,77.0146708851985,0.544196421320076,1.87748583428827,"RUA",1,15638400,1,1.69235568926985
83,201157,"001152015",2,1.5093279062008,0,0,0,0,1.84124119060334,"RUA",5,139795200,1,0
84,201165,"000742016",2,1.50942194196198,2.73751744767466,20,77.9665622086414,0.553725501236468,1.810434524007,"RUA",1,13305600,1,1.09796808763493
85,201165,"001352015",2,1.50945971766557,2.60726989766263,17,72.4198600320379,0.581937861679527,1.810434524007,"RUA",1,13305600,1,0.862974688271395
86,201165,"001442015",2,1.50930176302035,2.60726989766263,17,73.5410061878849,0.557102007513066,1.810434524007,"RUA",1,13305600,1,0.952224469264004
87,201165,"001522015",2,1.50955887694547,2.60726989766263,17,74.2544088962647,0.534293391248062,1.810434524007,"RUA",1,13305600,1,1.02971857211536
88,201167,"000082016",11,1.509365696554,0.690941237078147,1,56.4934061327243,0.25352176122227,1.54155620569873,"RUA",3,10281600,1,0.952224469264004
89,201168,"000132015",11,1.50937668457968,1.92859112132035,7,82.5642196058841,0.420950470154347,2.18759256980684,"RUA",1,166924800,1,1.09796808763493
90,201170,"000862016",2,1.50937008785032,2.95481650732682,20,69.2214435506644,0.593067859860034,1.51686171586551,"RUA",3,7603200,1,1.42424563246174
91,201171,"000812016",8,1.5092470329423,3.13203183385879,30,65.5641056616149,0.740163710591486,1.77162383117069,"RUA",1,6825600,1,0.632819540487224
92,201177,"000632016",2,1.50941720415708,1.59757822034814,4,66.6673317455677,0.168266040808981,2.5689290138717,"AVENIDA",3,515116800,1,1.06487295939814
93,201197,"000072015",11,1.50939927991586,4.12438596552051,87,101.207997779744,0.51784061457022,2.63347122565285,"AVENIDA",5,173577600,1,1.38107774757349
94,201197,"000262015",2,1.50943477405045,1.09307760303944,2,41.3454823499873,0.290273125523508,1.66817915170372,"RUA",3,29203200,1,0.812868016262367
95,201197,"000272015",2,1.50928816674587,1.09307760303944,2,41.3454823499873,0.290273125523508,1.66817915170372,"RUA",3,29203200,1,0.812868016262367
96,201200,"000042016",2,1.50932900899326,1.77706878157985,6,47.0415059012619,0.144039682073666,2.29971550830358,"RUA",5,21340800,1,0.632819540487224
97,201200,"000842014",2,1.50910442410501,1.09307760303944,2,51.932079020453,1.04799753555054,1.79772981549366,"RUA",1,12268800,1,0.632819540487224
98,201203,"001252016",2,1.50921760170341,3.17166981557492,26,74.3812289643052,0.260108939684945,2.5719940159048,"RUA",3,223430400,1,1.19226234565227
99,201206,"000222015",2,1.5094082799262,2.05967211681634,7,40.4996628974904,0.183713974111612,1.77604131824354,"RURAL",1,12355200,1,0.632819540487224
100,201208,"001812014",2,1.50943132798574,3.13203183385879,23,72.0475994865432,0.451649769483416,1.83315537593124,"RUA",3,12960000,1,1.15877734982604
101,201209,"000192017",11,1.50931557204501,3.44085440091407,32,77.9059646240644,0.412052140836813,2.43881661227118,"AVENIDA",1,6048000,1,0.900285928579289
102,201213,"201002015",1,1.50961512439707,3.2463581704049,26,89.7361368951534,0.536122743267583,2.22900003701864,"RUA",3,7948800,1,0.952224469264004
103,201214,"000092015",11,1.50917190388089,1.92859112132035,8,39.902671576932,0.778324793393893,2.22091960256672,"RUA",1,48556800,1,0
104,201214,"000122015",2,1.50943241241507,1.59757822034814,4,51.1373604248905,0.740163710591486,1.63950847573669,"RUA",1,11232000,1,1.15877734982604
105,201214,"000132015",2,1.5094359525722,1.59757822034814,4,51.1373604248905,0.740163710591486,1.63950847573669,"RUA",1,11232000,1,1.15877734982604
106,201214,"000312014",2,1.5094350991771,2.05967211681634,8,63.9930252440198,0.553725501236468,2.05831709055911,"OUTRO",3,41731200,1,1.15877734982604
107,201214,"000442014",1,1.50957441662387,2.17516012730845,9,66.550872001606,0.71160566199381,2.05831709055911,"OUTRO",3,41731200,1,1.36967232227793
108,201214,"000952014",2,1.50938674038542,0,0,0,0,1.63950847573669,"RUA",1,11232000,1,0.632819540487224
109,201214,"000962014",2,1.50952730252959,0,0,0,0,1.63950847573669,"RUA",1,11232000,1,0.632819540487224
110,201215,"000142014",11,1.50949824829416,3.93434455794629,66,61.1668903551656,0.664130695999285,2.74452502823924,"AVENIDA",3,297302400,1,0.952224469264004
111,201215,"000312016",11,1.50942390840096,1.09307760303944,2,32.596352084113,1.04799753555054,1.72824781324831,"RUA",1,54345600,1,0.632819540487224
112,201215,"001842016",11,1.50935436828191,0,0,0,0,1.29378349349702,"RUA",1,21081600,1,0
113,201221,"000892015",2,1.50948152544088,3.2097389369288,30,92.2071853977823,0.2268461277906,2.59534222806413,"RUA",1,286243200,1,1.42424563246174
114,303050,"000182016",11,1.50935595132846,3.67412142322976,54,52.3299973878832,0.740163710591486,2.43965162690537,"OUTRO",5,351993600,1,0
115,601013,"000012016",11,1.50915037190949,3.52507694630773,53,86.2930854930821,0.680105093031717,2.9519227385437,"RUA",3,599529600,1,1.2003189222865
116,601013,"000022016",11,1.50942343357456,3.34852161554237,45,97.4562656858316,0.778324793393893,2.4898170851115,"RURAL",3,67046400,1,1.18682348262797
117,601013,"000362016",11,1.5092842802114,3.55158378852168,56,87.140584385862,0.67171634523424,2.9519227385437,"RUA",3,599529600,1,1.15877734982604
118,601040,"000732014",11,1.50957184072985,1.09307760303944,3,38.1910086306125,0,2.00944916251159,"RUA",1,104198400,1,0
119,601040,"000812014",11,1.50926649024161,2.05967211681634,20,67.3800936330675,0.571743301048471,2.20861411556882,"RUA",1,29030400,1,0.632819540487224
120,601050,"161792017",11,1.50931236624574,6.31063491735519,672,132.883697544549,0.422084116334523,2.58210548952379,"RUA",3,122688000,1,2.12663896838784
121,601052,"000482014",11,1.50944739018732,3.17166981557492,24,60.1567762230165,0.491414836096932,1.82188538540552,"AVENIDA",3,13564800,1,1.21348322841966
122,601071,"000022016",2,1.50927607819564,4.01817212158901,95,94.5005870367622,0.754029477155112,2.41107933467638,"RUA",5,34128000,1,1.30842175211579
123,601102,"000062017",11,1.50914042611236,3.95170926349186,76,96.7987577777161,0.58441876946887,1.66945598827983,"RUA",1,10713600,1,1.70187122059166
124,601115,"000192015",11,1.50943940967202,3.00226935945111,28,71.0772552068282,0.417496198384616,1.78588239680552,"RUA",3,8208000,1,0.952224469264004
125,601115,"000202015",11,1.50929552876056,3.00226935945111,28,71.0772552068282,0.389523433317495,1.78588239680552,"RUA",3,8208000,1,1.02971857211536
126,601115,"000212015",11,1.5091881017755,3.00226935945111,28,71.3011333294219,0.373184171600067,1.78588239680552,"RUA",3,8208000,1,1.21348322841966
127,601123,"435012017",11,1.50921852546686,0.690941237078147,1,16.1002435904041,0,1.23918617912704,"RUA",9999,20649600,1,0
128,601154,"000592014",11,1.50936028161039,4.66748084101156,117,89.9914857281097,0.543407693541966,2.09771317379999,"RUA",5,26697600,1,1.56626706871316
129,601154,"000602014",11,1.5092322985344,4.66748084101156,117,89.9914857281097,0.543407693541966,2.09771317379999,"RUA",5,26697600,1,1.56626706871316
130,601154,"001132014",11,1.50922785461193,5.69195048767816,347,82.6339248070083,0.236293405003558,2.41282070742603,"RUA",3,113875200,1,1.23887462130155
